Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
57.98155000000002,1404,,,,-0.0859375,-0.0234375,-0.984375,0.048165313740581334,276.2484221715349,22.190502166748047,0.8160400390625,2049,0,18.108338254969567,10.336688116040056,57.08247753326181,26.72504181903909,15.25531599210781,0.40234375,,
58.00568500000003,1404,,,,-0.0234375,-0.09765625,-0.94921875,0.05239953235642779,267.3162521868149,22.189001083374023,0.8282470703125,2044,0,18.377975140465423,11.215475906171939,61.02672258750212,23.83458842256611,14.545468156512321,0.3984375,,
58.029064999999974,1404,,,,0.01171875,-0.01953125,-1.01953125,0.05212176721426075,287.45820138627454,22.191431045532227,0.8865792155265808,2042,0,19.674461527760172,11.143830845848102,56.64109703904443,25.795276809444204,14.610727769127415,0.392578125,,
58.05256000000003,1404,,,,0.015625,0.0078125,-1.1171875,0.054645399864231406,266.2112186371991,22.19000244140625,0.906982421875,2040,0,20.125942155718803,11.672433506800598,57.996954460508896,22.80683102474724,13.227267403307872,0.38671875,,
58.074504999999974,1404,,,,0.099609375,-0.0234375,-1.07421875,0.052480097219831295,273.3784352370618,22.189716339111328,0.8858817219734192,2036,0,19.65746412059366,11.18664489297158,56.90787389636981,24.437929142527963,13.907105899314022,0.384765625,,
58.096550000000015,1404,,,,-0.048828125,0,-1.03125,0.05506187012055097,266.2466505746617,22.190288543701172,0.9061104655265808,2038,0,20.106852682502222,11.752679683636316,58.4511154938931,22.654122952518364,13.241587571105054,0.376953125,,
58.12500500000004,1404,,,,-0.109375,-0.1171875,-0.9296875,0.05288105292728762,272.66204575148925,22.189002990722656,0.8538818359375,2037,0,18.94678661134094,11.279684966881067,59.53349873128042,24.172842287002517,14.390938756247058,0.373046875,,
58.14794499999998,1404,,,,-0.041015625,-0.01171875,-1.005859375,0.057324796508946965,267.10919680226766,22.188501358032227,0.8648681640625,2035,0,19.19012843281962,12.217983938377317,63.6680675752107,21.861969875673505,13.919093753716014,0.3671875,,
58.17336000000002,1404,,,,0.099609375,-0.087890625,-1.078125,0.05360414201862389,272.9742897003787,22.191001892089844,0.8868408203125,2032,0,19.679886321537197,11.407466127139733,57.96510173260337,23.92944117983748,13.870724923936281,0.36328125,,
58.19701999999999,1404,,,,-0.125,0.0390625,-1.046875,0.057012040806022624,266.63418739065924,22.189502716064453,0.8807373046875,2034,0,19.543122814502567,12.142866529144468,62.13370628840078,21.958092576468854,13.643376747998293,0.357421875,,
58.225810000000024,1404,,,,-0.109375,0.083984375,-1.048828125,0.05555715367406841,268.2828797307173,22.188003540039062,0.9039306640625,2033,0,20.05641677416861,11.826475614860488,58.966044373849655,22.684939154113508,13.376411287795365,0.35546875,,
58.25020499999999,1404,,,,0.0625,-0.0546875,-0.99609375,0.05577303341294874,266.5832539805567,22.18711280822754,0.8729383945465088,2034,0,19.36798263443643,11.87809881809078,61.32852885241349,22.44325948648791,13.764120869592764,0.3515625,,
58.275695000000034,1404,,,,-0.0859375,-0.04296875,-1.0234375,0.054639466944851896,269.3004406847222,22.18800163269043,0.8929443359375,2030,0,19.81265038368292,11.614413550066027,58.621200723509936,23.18674460177038,13.592348094251419,0.349609375,,
58.299135000000035,1404,,,,0,-0.0546875,-0.98828125,0.05364898299286512,274.50893549172883,22.19000244140625,0.8599853515625,2032,0,19.083077050745487,11.41667515526605,59.82617543757207,24.044560413467572,14.384940896154117,0.34375,,
58.323055000000025,1404,,,,-0.0625,-0.06640625,-0.99609375,0.05508780104164406,272.6210775737981,22.18857192993164,0.9193638563156128,2026,0,20.399371055638312,11.688428553440389,57.297984930813584,23.324014543730467,13.364190338527454,0.341796875,,
58.346245000000025,1404,,,,0.0234375,0.0078125,-1.0546875,0.05423419523338619,273.98409991806363,22.18850326538086,0.928955078125,2027,0,20.612122784368694,11.509658790398039,55.839269495941714,23.804710887401423,13.292376665145857,0.337890625,,
58.373095,1404,,,,-0.0625,0.064453125,-1.115234375,0.059063038026577835,267.4889828819452,22.187501907348633,0.892333984375,2029,0,19.798661980312318,12.548664075473315,63.38137439768222,21.31613224110121,13.510457582837407,0.33203125,,
58.39660500000001,1404,,,,-0.09375,-0.0078125,-1.001953125,0.055004313324640876,273.96306220519523,22.187501907348633,0.9014892578125,2028,0,20.001794627169147,11.682413441929778,58.40682628578308,23.45089596143759,13.696924066656573,0.328125,,
58.426345,1404,,,,0.03125,-0.00390625,-0.99609375,0.05896689207012421,267.5687047412361,22.189002990722656,0.859375,2030,0,19.068674445152283,12.533900592287559,65.73031926439951,21.34760067475549,14.03184607880589,0.326171875,,
58.45093000000002,1404,,,,-0.10546875,-0.001953125,-1.046875,0.0543887597364333,273.9132360431384,22.1893367767334,0.9060329794883728,2028,0,20.104270912694687,11.548804448589085,57.44453255102467,23.717886752909937,13.624629176190517,0.322265625,,
58.475920000000016,1404,,,,0.0859375,-0.04296875,-1.037109375,0.05825382667669212,267.86655446553135,22.187002182006836,0.8673095703125,2029,0,19.24299932899885,12.377413847782119,64.32164568612535,21.641560810663997,13.920208065582655,0.318359375,,
58.49862999999998,1404,,,,-0.2109375,0.06640625,-0.96875,0.052196218431507846,275.6338995061674,22.192501068115234,0.899658203125,2030,0,19.965665633790195,11.096319274850028,55.57700643884594,24.84011974411152,13.8053949496019,0.314453125,,
58.521440000000034,1404,,,,0.03125,-0.037109375,-1.11328125,0.059089642534543185,267.9119516354054,22.189146041870117,0.9354073405265808,2028,0,20.755890087581633,12.546425097156638,60.447540646128374,21.353648514278504,12.907755365099886,0.3125,,
58.54704500000001,1404,,,,-0.037109375,-0.025390625,-1.0234375,0.05584926870868899,270.07219257258015,22.18850326538086,0.86669921875,2028,0,19.230758445337415,11.859454216476095,61.66919651237923,22.77273368932732,14.043761890112055,0.310546875,,
58.57013499999998,1404,,,,-0.0234375,-0.001953125,-1.0078125,0.05631598491918241,265.52915384104347,22.189502716064453,0.8935546875,2027,0,19.827534165233374,11.956760375071163,60.30381930213373,22.207449636161428,13.391940300203142,0.30859375,,
58.59570499999999,1404,,,,-0.0625,-0.005859375,-1,0.05463351051001955,271.35327856146336,22.188573837280273,0.8642578125,2028,0,19.17664828710258,11.604225571401392,60.512271997009584,23.38400584268315,14.15019321932104,0.3046875,,
58.62062999999998,1404,,,,-0.037109375,-0.0546875,-1.0546875,0.056734346279946425,272.49485129658746,22.190223693847656,0.9087456464767456,2029,0,20.165269176129186,12.052697526801795,59.769584137608646,22.608619414088498,13.513077803055346,0.302734375,,
58.647129999999976,1404,,,,0.01171875,0.0546875,-1.0546875,0.05480358049536278,272.6797617202206,22.187503814697266,0.8673095703125,2031,0,19.24343439983204,11.657517003242381,60.579191640262145,23.390895474943626,14.170015396139505,0.30078125,,
58.675449999999984,1404,,,,-0.125,0.00390625,-1.0390625,0.05715858294300535,270.06222734016876,22.1906681060791,0.8821614384651184,2030,0,19.575751696960765,12.148339406713044,62.05809919727954,22.230382136914553,13.795752598460743,0.298828125,,
58.69850999999998,1404,,,,0.009765625,-0.033203125,-1.0546875,0.05669318840848154,264.26689106893724,22.18850326538086,0.8990478515625,2027,0,19.948526190128177,12.035511426987972,60.332835179292196,21.957263110261792,13.247439362197776,0.294921875,,
58.722089999999994,1404,,,,-0.125,0.01953125,-1.03125,0.054543284098394505,267.5410235400935,22.187501907348633,0.927734375,2029,0,20.58410821482539,11.587985483753068,56.295785869445616,23.087794156732357,12.997455160452425,0.294921875,,
58.74724500000003,1404,,,,-0.037109375,-0.029296875,-1.013671875,0.05941317951288576,265.19033593905704,22.190288543701172,0.810546875,2030,0,17.986269034445286,12.6310510923107,70.22607672620224,20.99511228329167,14.744043660816718,0.29296875,,
58.772685000000024,1399,,,,-0.099609375,0,-0.96484375,0.05454384470436565,273.0983014814979,22.189502716064453,0.877685546875,2028,0,19.475405826233327,11.583815264439636,59.47919836841737,23.575850896022462,14.022727121487506,0.29296875,,
58.795425000000016,1399,,,,0.0859375,-0.078125,-1.056640625,0.0560288468318876,265.64984387802554,22.189502716064453,0.8746337890625,2027,0,19.407688837964088,11.894754244550828,61.28887547538925,22.333361279803142,13.687865984247345,0.291015625,,
58.82385500000001,1399,,,,-0.099609375,0.01953125,-1.044921875,0.05464601448075464,271.7806763071063,22.189502716064453,0.858154296875,2028,0,19.042017101310194,11.605158621630046,60.945006822998536,23.418954033127413,14.272683133364394,0.291015625,,
58.84617999999996,1399,,,,-0.01171875,-0.009765625,-1.05859375,0.05688752488763048,264.01000952233323,22.188892364501953,0.7915581464767456,2027,0,17.56379851241718,12.07399550442099,68.74364617588256,21.86600197305555,15.031487029168808,0.2890625,,
58.873939999999976,1389,,,,-0.13671875,0.0078125,-1.01953125,0.045852755848187265,269.10224328454063,22.190288543701172,0.7917131781578064,2021,0,17.568343867172416,9.706077627930942,55.24753899010011,27.725127863201063,15.317450826277115,0.287109375,,
58.90530499999996,1389,,,,-0.01953125,-0.015625,-1.0234375,0.05064681582391695,260.7148393383086,22.189781188964844,0.8224826455116272,2017,0,18.250709935623945,10.697904397219716,58.616374020268935,24.370645844065113,14.285188919112336,0.287109375,,
58.92969999999998,1389,,,,-0.01953125,-0.01953125,-1.021484375,0.04928392880979268,263.71437429412936,22.1908016204834,0.8193359375,2013,0,18.181721249595284,10.388130349465877,57.13502152441762,25.38612487738842,14.504367912911409,0.28515625,,
